product_id,produto,variacao_shopee,sku_pai,sku_variacao
58256064989,Suporte de parede para capacete,Somente parafusos,SUP-CAPACETE,SUP-CAPACETE-PLA-SPA-U
58256064989,Suporte de parede para capacete,Parafuso + Buchas,SUP-CAPACETE,SUP-CAPACETE-PLA-CPB-U
58256064989,Suporte de parede para capacete,Sem buchas,SUP-CAPACETE,SUP-CAPACETE-PLA-SBU-U
58206077097,Acessorio extra colecao Urban,Calca,BON-URBANACES,BON-URBANACES-PLA-CAL-U
58206077097,Acessorio extra colecao Urban,Tenis,BON-URBANACES,BON-URBANACES-PLA-TEN-U
58206077097,Acessorio extra colecao Urban,Oculos Sol,BON-URBANACES,BON-URBANACES-PLA-OSO-U
58206077097,Acessorio extra colecao Urban,Oculos Grau,BON-URBANACES,BON-URBANACES-PLA-OGR-U
58206077097,Acessorio extra colecao Urban,Blusa,BON-URBANACES,BON-URBANACES-PLA-BLU-U
58216617690,Porta Ampolas 3ml 4 Compartimentos,Rosa,ORG-AMPOLA3ML,ORG-AMPOLA3ML-PLA-RSA-U
58216617690,Porta Ampolas 3ml 4 Compartimentos,Azul,ORG-AMPOLA3ML,ORG-AMPOLA3ML-PLA-AZL-U
58216617690,Porta Ampolas 3ml 4 Compartimentos,Amarelo,ORG-AMPOLA3ML,ORG-AMPOLA3ML-PLA-AMR-U
58216617690,Porta Ampolas 3ml 4 Compartimentos,Vermelho,ORG-AMPOLA3ML,ORG-AMPOLA3ML-PLA-VRM-U
58216617690,Porta Ampolas 3ml 4 Compartimentos,Durado,ORG-AMPOLA3ML,ORG-AMPOLA3ML-PLA-DRD-U
58216617690,Porta Ampolas 3ml 4 Compartimentos,Preto,ORG-AMPOLA3ML,ORG-AMPOLA3ML-PLA-PRT-U
58216617690,Porta Ampolas 3ml 4 Compartimentos,Branco,ORG-AMPOLA3ML,ORG-AMPOLA3ML-PLA-BRC-U
58216617690,Porta Ampolas 3ml 4 Compartimentos,Bege,ORG-AMPOLA3ML,ORG-AMPOLA3ML-PLA-BEG-U
23099370801,Suporte de parede para PS4 Slim e controle,-,SUP-PS4SLIM,SUP-PS4SLIM-PLA-STD-U
58206077036,Kit 3 Mini Anjinhos Natalinos,Com detalhes,DEC-ANJINHOS,DEC-ANJINHOS-PLA-DET-U
58206077036,Kit 3 Mini Anjinhos Natalinos,1,DEC-ANJINHOS,DEC-ANJINHOS-PLA-V1-U
58206077036,Kit 3 Mini Anjinhos Natalinos,2,DEC-ANJINHOS,DEC-ANJINHOS-PLA-V2-U
58206077036,Kit 3 Mini Anjinhos Natalinos,3,DEC-ANJINHOS,DEC-ANJINHOS-PLA-V3-U
58206077036,Kit 3 Mini Anjinhos Natalinos,4,DEC-ANJINHOS,DEC-ANJINHOS-PLA-V4-U
22799368207,Boneco Ghostface Scary Movie,Panico,BON-GHOSTFACE,BON-GHOSTFACE-PLA-PAN-U
22799368207,Boneco Ghostface Scary Movie,Ima,BON-GHOSTFACE,BON-GHOSTFACE-PLA-IMA-U
22799368207,Boneco Ghostface Scary Movie,Todo mundo em Panico,BON-GHOSTFACE,BON-GHOSTFACE-PLA-TMP-U
23999347184,Cranio de T-Rex decorativo,Medio,DEC-TREX,DEC-TREX-PLA-STD-M
23999347184,Cranio de T-Rex decorativo,Grande,DEC-TREX,DEC-TREX-PLA-STD-G
23999347184,Cranio de T-Rex decorativo,Pequeno,DEC-TREX,DEC-TREX-PLA-STD-P
23799357186,Taca da copa do mundo 2026,Chaveiro,DEC-TACACOPA,DEC-TACACOPA-PLA-STD-CHV
23799357186,Taca da copa do mundo 2026,10 CM,DEC-TACACOPA,DEC-TACACOPA-PLA-STD-P
23799357186,Taca da copa do mundo 2026,15 CM,DEC-TACACOPA,DEC-TACACOPA-PLA-STD-M
23799357186,Taca da copa do mundo 2026,20 CM,DEC-TACACOPA,DEC-TACACOPA-PLA-STD-G
23894125620,Kit 4 Miniaturas de Natal,-,DEC-KITNATAL4,DEC-KITNATAL4-PLA-STD-U
23894125627,Mini Maozinha Dedoche,Branco,BRQ-DEDOCHE,BRQ-DEDOCHE-PLA-BRC-U
23894125627,Mini Maozinha Dedoche,Preto,BRQ-DEDOCHE,BRQ-DEDOCHE-PLA-PRT-U
23894125627,Mini Maozinha Dedoche,Bege,BRQ-DEDOCHE,BRQ-DEDOCHE-PLA-BEG-U
23894125627,Mini Maozinha Dedoche,Verde,BRQ-DEDOCHE,BRQ-DEDOCHE-PLA-VRD-U
23894125627,Mini Maozinha Dedoche,Azul,BRQ-DEDOCHE,BRQ-DEDOCHE-PLA-AZL-U
23894125627,Mini Maozinha Dedoche,Marrom,BRQ-DEDOCHE,BRQ-DEDOCHE-PLA-MRR-U
23994872411,Suporte de Controle PS5 DualSense Mascara Demon Oni,-,SUP-PS5ONI,SUP-PS5ONI-PLA-STD-U
58206077023,Enfeite Natal pet personalizado,"Gatinho,Rosa bebe",DEC-NATALPET,DEC-NATALPET-PLA-RSA-GAT
58206077023,Enfeite Natal pet personalizado,"Gatinho,Azul Claro",DEC-NATALPET,DEC-NATALPET-PLA-AZC-GAT
58206077023,Enfeite Natal pet personalizado,"Gatinho,Preto",DEC-NATALPET,DEC-NATALPET-PLA-PRT-GAT
58206077023,Enfeite Natal pet personalizado,"Cachorrinho,Azul Claro",DEC-NATALPET,DEC-NATALPET-PLA-AZC-CAO
58206077023,Enfeite Natal pet personalizado,"Cachorrinho,Verde",DEC-NATALPET,DEC-NATALPET-PLA-VRD-CAO
58206077023,Enfeite Natal pet personalizado,"Cachorrinho,Preto",DEC-NATALPET,DEC-NATALPET-PLA-PRT-CAO
58206077023,Enfeite Natal pet personalizado,"Cachorrinho,Vermelho",DEC-NATALPET,DEC-NATALPET-PLA-VRM-CAO
58206077023,Enfeite Natal pet personalizado,"Gatinho,Vermelho",DEC-NATALPET,DEC-NATALPET-PLA-VRM-GAT
58206077023,Enfeite Natal pet personalizado,"Cachorrinho,Rosa bebe",DEC-NATALPET,DEC-NATALPET-PLA-RSA-CAO
58206077023,Enfeite Natal pet personalizado,"Gatinho,Verde",DEC-NATALPET,DEC-NATALPET-PLA-VRD-GAT
58206077073,Lanterna dos Mortos-Vivos halloween,-,DEC-LANTERNA,DEC-LANTERNA-PLA-STD-U
58206077090,Decoracao Halloween Ceifador,Com Vela,DEC-CEIFADOR,DEC-CEIFADOR-PLA-CVE-U
58206077090,Decoracao Halloween Ceifador,Sem vela,DEC-CEIFADOR,DEC-CEIFADOR-PLA-SVE-U
58206077080,Vela fantasma flutuante halloween,Alta (9CM),DEC-FANTASMA,DEC-FANTASMA-PLA-STD-G
