product_id,produto,variacao_shopee,sku_pai,sku_variacao
58206077080,Vela fantasma flutuante halloween,Baixa (7CM),DEC-FANTASMA,DEC-FANTASMA-PLA-STD-P
58206077120,Kit 3 Cortadores Mandala,-,COR-MANDALA,COR-MANDALA-PLA-STD-U
58206314856,Kit Clipes Fecha Embalagem Gatinho,4 Unid,ORG-CLIPEGATO,ORG-CLIPEGATO-PLA-STD-04
58206314856,Kit Clipes Fecha Embalagem Gatinho,8 Unid,ORG-CLIPEGATO,ORG-CLIPEGATO-PLA-STD-08
58206314856,Kit Clipes Fecha Embalagem Gatinho,12 Unid,ORG-CLIPEGATO,ORG-CLIPEGATO-PLA-STD-12
58206314856,Kit Clipes Fecha Embalagem Gatinho,16 Unid,ORG-CLIPEGATO,ORG-CLIPEGATO-PLA-STD-16
58206077111,Marcadores cortador pascoa coelhos,7,COR-PASCCOELHO,COR-PASCCOELHO-PLA-V7-U
58206077111,Marcadores cortador pascoa coelhos,4,COR-PASCCOELHO,COR-PASCCOELHO-PLA-V4-U
58206077111,Marcadores cortador pascoa coelhos,5,COR-PASCCOELHO,COR-PASCCOELHO-PLA-V5-U
58206077111,Marcadores cortador pascoa coelhos,6,COR-PASCCOELHO,COR-PASCCOELHO-PLA-V6-U
58206077111,Marcadores cortador pascoa coelhos,8,COR-PASCCOELHO,COR-PASCCOELHO-PLA-V8-U
58206077111,Marcadores cortador pascoa coelhos,1,COR-PASCCOELHO,COR-PASCCOELHO-PLA-V1-U
58206077111,Marcadores cortador pascoa coelhos,2,COR-PASCCOELHO,COR-PASCCOELHO-PLA-V2-U
58206077111,Marcadores cortador pascoa coelhos,3,COR-PASCCOELHO,COR-PASCCOELHO-PLA-V3-U
58206982447,Grade Fan Cover 120mm modelos de flores,Cerejeira,PEC-FANCOVER120,PEC-FANCOVER120-PLA-CER-U
58206982447,Grade Fan Cover 120mm modelos de flores,Hibiscos,PEC-FANCOVER120,PEC-FANCOVER120-PLA-HIB-U
58206982447,Grade Fan Cover 120mm modelos de flores,Orquidea,PEC-FANCOVER120,PEC-FANCOVER120-PLA-ORQ-U
58211007963,Ponta aplicadora de silicone calafetar,"5,4 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M05-04
58211007963,Ponta aplicadora de silicone calafetar,"5,1 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M05-01
58211007963,Ponta aplicadora de silicone calafetar,"10,3 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M10-03
58211007963,Ponta aplicadora de silicone calafetar,"10,5 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M10-05
58211007963,Ponta aplicadora de silicone calafetar,"3,1 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M03-01
58211007963,Ponta aplicadora de silicone calafetar,"12,5 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M12-05
58211007963,Ponta aplicadora de silicone calafetar,"3,2 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M03-02
58211007963,Ponta aplicadora de silicone calafetar,"8,4 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M08-04
58211007963,Ponta aplicadora de silicone calafetar,"8,1 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M08-01
58211007963,Ponta aplicadora de silicone calafetar,"12,1 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M12-01
58211007963,Ponta aplicadora de silicone calafetar,"5,3 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M05-03
58211007963,Ponta aplicadora de silicone calafetar,"3,3 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M03-03
58211007963,Ponta aplicadora de silicone calafetar,"10,1 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M10-01
58211007963,Ponta aplicadora de silicone calafetar,"12,4 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M12-04
58211007963,Ponta aplicadora de silicone calafetar,"8,2 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M08-02
58211007963,Ponta aplicadora de silicone calafetar,"10,4 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M10-04
58211007963,Ponta aplicadora de silicone calafetar,"3,4 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M03-04
58211007963,Ponta aplicadora de silicone calafetar,"12,3 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M12-03
58211007963,Ponta aplicadora de silicone calafetar,"3,5 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M03-05
58211007963,Ponta aplicadora de silicone calafetar,"10,2 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M10-02
58211007963,Ponta aplicadora de silicone calafetar,"5,2 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M05-02
58211007963,Ponta aplicadora de silicone calafetar,"12,2 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M12-02
58211007963,Ponta aplicadora de silicone calafetar,"8,3 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M08-03
58211007963,Ponta aplicadora de silicone calafetar,"8,5 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M08-05
58211007963,Ponta aplicadora de silicone calafetar,"5,5 UN",FER-PONTASILIC,FER-PONTASILIC-PLA-M05-05
58206558686,Estante playmobil DC Kinder,Azul,ORG-ESTKINDER,ORG-ESTKINDER-PLA-AZL-U
58206558686,Estante playmobil DC Kinder,Cinza Claro,ORG-ESTKINDER,ORG-ESTKINDER-PLA-CNC-U
58206558686,Estante playmobil DC Kinder,Rosa,ORG-ESTKINDER,ORG-ESTKINDER-PLA-RSA-U
58206558686,Estante playmobil DC Kinder,Marrom,ORG-ESTKINDER,ORG-ESTKINDER-PLA-MRR-U
58206558686,Estante playmobil DC Kinder,Preta,ORG-ESTKINDER,ORG-ESTKINDER-PLA-PRT-U
58206558686,Estante playmobil DC Kinder,Branca,ORG-ESTKINDER,ORG-ESTKINDER-PLA-BRC-U
58206558686,Estante playmobil DC Kinder,Azul Claro,ORG-ESTKINDER,ORG-ESTKINDER-PLA-AZC-U
58206618934,Organizador de Cabo Starlink Mini,Branco,ORG-STARLINK,ORG-STARLINK-PLA-BRC-U
58206618934,Organizador de Cabo Starlink Mini,Preto,ORG-STARLINK,ORG-STARLINK-PLA-PRT-U
58206618934,Organizador de Cabo Starlink Mini,Cinza,ORG-STARLINK,ORG-STARLINK-PLA-CNZ-U
58206633783,Suporte Organizador de Controles Remotos 3 Lugares,-,ORG-CONTROLES,ORG-CONTROLES-PLA-STD-U
58214235096,Organizador de Colares Porta Joias Parede,Vermelho,ORG-PORTAJOIAS,ORG-PORTAJOIAS-PLA-VRM-U
58214235096,Organizador de Colares Porta Joias Parede,Branco,ORG-PORTAJOIAS,ORG-PORTAJOIAS-PLA-BRC-U
58214235096,Organizador de Colares Porta Joias Parede,Preto,ORG-PORTAJOIAS,ORG-PORTAJOIAS-PLA-PRT-U
58214235096,Organizador de Colares Porta Joias Parede,Rosa,ORG-PORTAJOIAS,ORG-PORTAJOIAS-PLA-RSA-U
58214235096,Organizador de Colares Porta Joias Parede,Bege,ORG-PORTAJOIAS,ORG-PORTAJOIAS-PLA-BEG-U
58211096183,Suporte Para Copo Caneca Lata Pata Gato,Branco e Rosa,SUP-COPOGATO,SUP-COPOGATO-PLA-BRC-RSA
58211096183,Suporte Para Copo Caneca Lata Pata Gato,Preto e Cinza,SUP-COPOGATO,SUP-COPOGATO-PLA-PRT-CNZ
58211096183,Suporte Para Copo Caneca Lata Pata Gato,Branco e Preto,SUP-COPOGATO,SUP-COPOGATO-PLA-BRC-PRT
58211096183,Suporte Para Copo Caneca Lata Pata Gato,Cinza e Preto,SUP-COPOGATO,SUP-COPOGATO-PLA-CNZ-PRT
58211096183,Suporte Para Copo Caneca Lata Pata Gato,Laranja e Branco,SUP-COPOGATO,SUP-COPOGATO-PLA-LRJ-BRC
58256064850,Boneco figure Looney Tunes Versao Mini,Kit com os 3 personagens,BON-LOONEY,BON-LOONEY-PLA-KIT-P
58256064850,Boneco figure Looney Tunes Versao Mini,Pernalonga,BON-LOONEY,BON-LOONEY-PLA-PER-P
58256064850,Boneco figure Looney Tunes Versao Mini,Patolino,BON-LOONEY,BON-LOONEY-PLA-PAT-P
58256064850,Boneco figure Looney Tunes Versao Mini,Frajola,BON-LOONEY,BON-LOONEY-PLA-FRA-P
58256064837,Boneco figure action Coyote,Coyote 1,BON-COYOTE,BON-COYOTE-PLA-V1-U
58256064837,Boneco figure action Coyote,Coyote 2,BON-COYOTE,BON-COYOTE-PLA-V2-U
58256064837,Boneco figure action Coyote,Coyote 3,BON-COYOTE,BON-COYOTE-PLA-V3-U
58256064837,Boneco figure action Coyote,Coyote 4,BON-COYOTE,BON-COYOTE-PLA-V4-U
58256064795,Eliminador Corta Neve Bajaj Dominar NS 400,-,AUT-BAJAJNS400,AUT-BAJAJNS400-PLA-STD-U
58256064863,Escultura Nossa Senhora,14 (CM),DEC-NSENHORA,DEC-NSENHORA-PLA-STD-14
58256064863,Escultura Nossa Senhora,16 (CM),DEC-NSENHORA,DEC-NSENHORA-PLA-STD-16
58256064863,Escultura Nossa Senhora,8 (CM),DEC-NSENHORA,DEC-NSENHORA-PLA-STD-08
58256064863,Escultura Nossa Senhora,10 (CM),DEC-NSENHORA,DEC-NSENHORA-PLA-STD-10
58256064920,Anjo com Vela Eletronica Natal,-,DEC-ANJOVELA,DEC-ANJOVELA-PLA-STD-U
58256064879,Boneco figure Looney Tunes,Pernalonga,BON-LOONEY,BON-LOONEY-PLA-PER-G
58256064879,Boneco figure Looney Tunes,Patolino,BON-LOONEY,BON-LOONEY-PLA-PAT-G
58256064879,Boneco figure Looney Tunes,Frajola,BON-LOONEY,BON-LOONEY-PLA-FRA-G
58256064879,Boneco figure Looney Tunes,Kit com os 3 personagens,BON-LOONEY,BON-LOONEY-PLA-KIT-G
58256064885,Nicho Expositor miniaturas 1/64 10 Posicoes,Cinza Claro,ORG-NICHO164,ORG-NICHO164-PLA-CNC-U
58256064885,Nicho Expositor miniaturas 1/64 10 Posicoes,Preto,ORG-NICHO164,ORG-NICHO164-PLA-PRT-U
58256064885,Nicho Expositor miniaturas 1/64 10 Posicoes,Cinza Escuro,ORG-NICHO164,ORG-NICHO164-PLA-CNE-U
58256064964,Marcadores cortador pascoa playdoh,2,COR-PASCPLAY,COR-PASCPLAY-PLA-V2-U
58256064964,Marcadores cortador pascoa playdoh,3,COR-PASCPLAY,COR-PASCPLAY-PLA-V3-U
58256064964,Marcadores cortador pascoa playdoh,1,COR-PASCPLAY,COR-PASCPLAY-PLA-V1-U
58256064912,Kit Cortadores Tema Natal 7 Desenhos,-,COR-NATAL7,COR-NATAL7-PLA-STD-U
