loja,product_id,produto,variacao_shopee,sku_pai,sku_variacao
print_tech3d,20899566164,Vaso Design Geometrico Moderno,-,VAS-GEOMETRICO,VAS-GEOMETRICO-PLA-STD-U
print_tech3d,20097980582,Suporte de parede para capacete,Parafuso + Buchas,SUP-CAPACETE,SUP-CAPACETE-PLA-CPB-U
print_tech3d,20097980582,Suporte de parede para capacete,Sem buchas,SUP-CAPACETE,SUP-CAPACETE-PLA-SBU-U
print_tech3d,20097980582,Suporte de parede para capacete,Somente parafusos,SUP-CAPACETE,SUP-CAPACETE-PLA-SPA-U
print_tech3d,21498035494,Boneco figure Looney Tunes,Frajola,BON-LOONEY,BON-LOONEY-PLA-FRA-G
print_tech3d,21498035494,Boneco figure Looney Tunes,Pernalonga,BON-LOONEY,BON-LOONEY-PLA-PER-G
print_tech3d,21498035494,Boneco figure Looney Tunes,Patolino,BON-LOONEY,BON-LOONEY-PLA-PAT-G
print_tech3d,21498035494,Boneco figure Looney Tunes,Kit com os 3 personagens,BON-LOONEY,BON-LOONEY-PLA-KIT-G
print_tech3d,21197992713,Vaso Design Zigzag Moderno,-,VAS-ZIGZAG,VAS-ZIGZAG-PLA-STD-U
print_tech3d,22098135171,Organizador de Cabos passa fio,"Preto,2",ORG-PASSAFIO,ORG-PASSAFIO-PLA-PRT-02
print_tech3d,22098135171,Organizador de Cabos passa fio,"Preto,4",ORG-PASSAFIO,ORG-PASSAFIO-PLA-PRT-04
print_tech3d,22098135171,Organizador de Cabos passa fio,"Preto,8",ORG-PASSAFIO,ORG-PASSAFIO-PLA-PRT-08
print_tech3d,22098135171,Organizador de Cabos passa fio,"Preto,12",ORG-PASSAFIO,ORG-PASSAFIO-PLA-PRT-12
print_tech3d,22098135171,Organizador de Cabos passa fio,"Preto,20",ORG-PASSAFIO,ORG-PASSAFIO-PLA-PRT-20
print_tech3d,22098135171,Organizador de Cabos passa fio,"Branco,2",ORG-PASSAFIO,ORG-PASSAFIO-PLA-BRC-02
print_tech3d,22098135171,Organizador de Cabos passa fio,"Branco,4",ORG-PASSAFIO,ORG-PASSAFIO-PLA-BRC-04
print_tech3d,22098135171,Organizador de Cabos passa fio,"Branco,8",ORG-PASSAFIO,ORG-PASSAFIO-PLA-BRC-08
print_tech3d,22098135171,Organizador de Cabos passa fio,"Branco,12",ORG-PASSAFIO,ORG-PASSAFIO-PLA-BRC-12
print_tech3d,22098135171,Organizador de Cabos passa fio,"Branco,20",ORG-PASSAFIO,ORG-PASSAFIO-PLA-BRC-20
print_tech3d,21798025672,Cortador de Biscoito Unicornio,-,COR-UNICORNIO,COR-UNICORNIO-PLA-STD-U
print_tech3d,22098199108,Kit 3 Cortadores Mandala,-,COR-MANDALA,COR-MANDALA-PLA-STD-U
print_tech3d,22193543514,Kit Cortadores Osso 3 Tamanhos Pet,-,COR-OSSO,COR-OSSO-PLA-STD-U
print_tech3d,22099029875,Decoracao Halloween Ceifador,Sem vela,DEC-CEIFADOR,DEC-CEIFADOR-PLA-SVE-U
print_tech3d,22099029875,Decoracao Halloween Ceifador,Com Vela,DEC-CEIFADOR,DEC-CEIFADOR-PLA-CVE-U
print_tech3d,22193557634,Coletor de Po para furadeira,-,FER-COLETORPO,FER-COLETORPO-PLA-STD-U
print_tech3d,22593858403,Marcadores cortador pascoa coelhos,1,COR-PASCCOELHO,COR-PASCCOELHO-PLA-V1-U
print_tech3d,22593858403,Marcadores cortador pascoa coelhos,2,COR-PASCCOELHO,COR-PASCCOELHO-PLA-V2-U
print_tech3d,22593858403,Marcadores cortador pascoa coelhos,3,COR-PASCCOELHO,COR-PASCCOELHO-PLA-V3-U
print_tech3d,22593858403,Marcadores cortador pascoa coelhos,4,COR-PASCCOELHO,COR-PASCCOELHO-PLA-V4-U
print_tech3d,22593858403,Marcadores cortador pascoa coelhos,5,COR-PASCCOELHO,COR-PASCCOELHO-PLA-V5-U
print_tech3d,22593858403,Marcadores cortador pascoa coelhos,6,COR-PASCCOELHO,COR-PASCCOELHO-PLA-V6-U
print_tech3d,22593858403,Marcadores cortador pascoa coelhos,7,COR-PASCCOELHO,COR-PASCCOELHO-PLA-V7-U
print_tech3d,22593858403,Marcadores cortador pascoa coelhos,8,COR-PASCCOELHO,COR-PASCCOELHO-PLA-V8-U
print_tech3d,22493624102,Organizador de cabo engate rapido coaxial,"Preto,4",ORG-ENGATE,ORG-ENGATE-PLA-PRT-04
print_tech3d,22493624102,Organizador de cabo engate rapido coaxial,"Preto,8",ORG-ENGATE,ORG-ENGATE-PLA-PRT-08
print_tech3d,22493624102,Organizador de cabo engate rapido coaxial,"Preto,12",ORG-ENGATE,ORG-ENGATE-PLA-PRT-12
print_tech3d,22493624102,Organizador de cabo engate rapido coaxial,"Preto,20",ORG-ENGATE,ORG-ENGATE-PLA-PRT-20
print_tech3d,22493624102,Organizador de cabo engate rapido coaxial,"Branco,4",ORG-ENGATE,ORG-ENGATE-PLA-BRC-04
print_tech3d,22493624102,Organizador de cabo engate rapido coaxial,"Branco,8",ORG-ENGATE,ORG-ENGATE-PLA-BRC-08
print_tech3d,22493624102,Organizador de cabo engate rapido coaxial,"Branco,12",ORG-ENGATE,ORG-ENGATE-PLA-BRC-12
print_tech3d,22493624102,Organizador de cabo engate rapido coaxial,"Branco,20",ORG-ENGATE,ORG-ENGATE-PLA-BRC-20
print_tech3d,22198934724,Hub de Filamento Bambu Lab A1,-,IMP-HUBFILAM,IMP-HUBFILAM-PLA-STD-U
print_tech3d,22198085056,Reparo de Tomada 4x2 Angulado,"somente parafusos,2",ELE-TOMADAANG,ELE-TOMADAANG-PLA-SPA-02
